Gene.symbol,logFC,P.Value
HMOX2,0.154552714,0.017696762
,-0.097896714,0.017795766
VAMP2,0.162092036,0.017834046
ARHGAP26,0.197693571,0.017872341
TLE3,0.251689143,0.017904437
GPX1,-0.375615714,0.017949586
KLHL28,0.165897,0.017993437
TMCC1,0.304866571,0.018013981
FAM102A,0.43630925,0.018058697
,-0.107327,0.018079246
,-0.150811429,0.018083305
ARL6IP1,-0.225182857,0.018139554
TNKS,0.151788143,0.018289191
JAK1,0.166374643,0.018294503
HSF5,-0.270755,0.018325636
,0.127146286,0.018327959
CDC14A,0.270732,0.018380282
DPP8,0.146528964,0.018438986
OR6K3,-0.195477857,0.018465104
TICRR,-0.139001393,0.018482051
TMEM86B,-0.291430536,0.018518214
KLHL14,-0.272900036,0.018526866
PPARG,-0.340159036,0.018642406
NBN,0.24363675,0.018707495
,-0.147623893,0.018721817
FEZ1,0.142199357,0.018836884
VEZF1,0.094096179,0.01885592
COL19A1,-0.238272214,0.018876311
,-0.213089929,0.018956661
RAF1///RAF1,0.184519286,0.019011934
MAP2K2,-0.1564295,0.019113258
ALPK1,0.252007786,0.019127419
SLC28A3,-0.185258964,0.019142017
RUNX2,0.173632893,0.019150011
BCL2L11,0.214709107,0.019187114
ANKRD9,-0.287158786,0.019256271
,0.091623393,0.019261549
TSPAN33,-0.407519393,0.019274188
TMEM183B///TMEM183A,-0.20797,0.019448682
TAPBP,0.179419643,0.01946387
HARS2,0.11961525,0.01951873
CD46,0.187284286,0.019524307
ZNF831,0.22725125,0.019589372
HIVEP2,0.251752393,0.019670938
SAP30,-0.234607036,0.019767284
FUNDC2,-0.250478357,0.019772158
NME7,0.214442643,0.019777867
RNASE1,-0.351478214,0.019815135
HIVEP1,0.206532,0.019821314
CDCA7L,-0.353519071,0.019863471
,0.127290607,0.019898248
RAB11B,-0.156103214,0.019907043
DEFA4,-0.808807357,0.019988783
ZCCHC6,0.246418571,0.019999791
FAM83A,-0.192884786,0.020014177
BAX,-0.101300893,0.020044219
KHDRBS2,-0.191602107,0.020081817
SMARCC1,0.132993429,0.02011934
VSTM1,-0.556465036,0.020147054
LOC613266,-0.158433964,0.020322801
GTF2F1,0.112258071,0.02036997
ERG,-0.260465036,0.02046934
TET2,0.181514286,0.020490771
WIZ,-0.115222893,0.020526202
LYPD4,0.132181214,0.020546797
SYBU,-0.124552786,0.020565878
SMNDC1,0.114241857,0.020665703
PITPNC1,0.222167143,0.020715128
RUNX1T1,-0.261485321,0.020789586
,-0.545954214,0.020796186
CXCL13,-0.160626321,0.020805131
PCDHB7,0.098323464,0.020814179
TMEM81,0.139812071,0.020821494
AAK1,0.281387893,0.020821827
CDC16,-0.209840036,0.020844497
NXF3,-0.125687,0.020882317
TMEM183B///TMEM183A,-0.211731786,0.020909764
MUC12,-0.24389,0.020944186
MED8,0.172505571,0.021039284
ANKDD1A,-0.136984357,0.021046671
POLD4,-0.108705643,0.02106884
RNF14,-0.34953325,0.021090401
FUS,0.199466786,0.021090981
UBR5,0.163320071,0.021113946
MILR1///MILR1,-0.264350643,0.021154844
MKI67,-0.339284607,0.021205984
RASGRP1,0.499225286,0.021254847
CD247,0.4254535,0.021311165
RBMS1,0.158191357,0.021323903
NDUFB6,0.252659393,0.021405157
ADAR,0.191070357,0.021455561
CFLAR,0.1781475,0.021474488
DTX4,-0.212003107,0.021543212
TCF7,0.483548643,0.021575596
EDEM1,0.143166143,0.021578277
NAB1,0.179835143,0.021579861
SYCP3,-0.171605929,0.021725513
TMEM198B///TMEM198B,-0.135158214,0.021796959
MPO,-0.352545107,0.02179847
FAM89B,-0.127945714,0.021819753
PRKCSH,0.155855714,0.021869315
EMC3-AS1,-0.169357321,0.021895022
AHCYL1,0.156874107,0.021954631
HMCES,0.134482571,0.02196642
POM121L10P///POM121L8P///POM121L9P///POM121L1P,-0.212167786,0.021991774
BRWD3,0.192692179,0.022032281
VSIG1,0.547275893,0.022034723
,-0.263078643,0.022048491
,-0.147952536,0.022058103
RFNG,-0.1391935,0.022117047
,-0.235227464,0.022125998
RPS6KA5,0.286918929,0.022181102
HNRNPU,0.142766143,0.022191261
STK38,0.124056786,0.022209017
ACHE,-0.227050929,0.022264284
PIKFYVE,0.135801464,0.022285393
LOC440173,-0.167743536,0.022287904
MEIG1,-0.099670643,0.022289509
SLC8B1,0.139534607,0.022327498
MORC4,0.237745107,0.022342412
SLC7A5,-0.452483214,0.022343243
CRYGS///CRYGS,0.157033321,0.022380345
CDCA2,-0.153691036,0.022384538
ZSCAN5A,-0.115909679,0.022385482
FAM72A///FAM72D///FAM72B,-0.280961393,0.022433546
,-0.150934893,0.022502627
RBM18,0.105263143,0.022524627
GGT2///GGTLC2///GGT3P///GGT1,-0.14078775,0.022536491
TK1,-0.136083643,0.022604952
RETN,-0.183578679,0.022676298
MIR31,0.147713179,0.022714787
BIRC6,0.1413725,0.022762495
CBLL1,0.162743107,0.02287322
MORN4,0.126888536,0.022983999
P2RY1,-0.160179214,0.023151411
PLCB1,0.314399357,0.023186263
SPTAN1,0.23667825,0.023208489
,-0.171694393,0.023209215
RCAN3,0.432603143,0.023239415
GGT2///GGT8P///GGTLC1///GGTLC2///GGT3P///GGT1,-0.201781964,0.023329584
GCLC,-0.338366536,0.023335508
WASF1,-0.192052643,0.023441556
CLDN15,-0.105908607,0.023509404
GGT2///GGT8P///GGTLC2///GGT3P///GGT1,-0.194698607,0.023528016
,0.149014464,0.023618512
,-0.114253393,0.023627683
MZT2B///PHGDH,-0.161226786,0.023647957
PRKCH,0.419969821,0.023762013
RUNDC3A,-0.687942286,0.023779364
THEM4,0.268692321,0.023831689
PTPN1,0.098864,0.023837148
RIPPLY2,-0.113485107,0.023859333
RPS6KA2,0.132887286,0.023883871
ITK,0.561435893,0.023958808
TRAF6,0.132523607,0.023995377
,-0.12139025,0.024004598
PPP1R9A,-0.143678179,0.024060915
SNAP47,0.126935571,0.024088794
CD3E,0.502948536,0.024133133
SIAH2,-0.319289464,0.024153824
RBM47,0.261270714,0.024221767
HIST2H3D///HIST2H3A///HIST2H3C,-0.198644071,0.024237526
GPATCH1,0.128309929,0.024239037
,-0.243570357,0.024286647
VCAM1,-0.130312071,0.02430464
CCSER2,0.211339929,0.024321993
PIGB,0.258217429,0.024363287
,0.320650536,0.024420171
FCER2,-0.476326036,0.024443624
NMRAL1P1,-0.346868107,0.024633639
HSPA4L,-0.160978964,0.024663995
,-0.133919643,0.024677565
TRAF4,-0.096617607,0.024693514
PKIG,-0.145842143,0.024722407
,0.085714679,0.024735991
MARC2///MARC2,-0.143726643,0.024738504
CHIT1,-0.258919714,0.024755763
HIST1H3H,-0.34487425,0.024801031
INF2,-0.156023679,0.0248659
CDKN1B,0.164138643,0.024898312
THEMIS,0.581895786,0.024912734
PTDSS2,-0.094518643,0.024923495
UBE2S,-0.140964107,0.024925481
CEACAM3,0.233694321,0.02496779
LCP2,0.099233214,0.024999156
,0.092455857,0.025005393
,-0.296567214,0.025048263
ARHGAP18,-0.300722214,0.025048328
LOC100133207,-0.536799536,0.025079568
BCLAF1,0.188887964,0.025086055
SERF2-C15ORF63///SERF2,-0.155541536,0.025136296
CFHR1,0.1455295,0.025171185
CD6,0.396057393,0.025189364
FAM207A,-0.116821,0.025268327
,0.282453393,0.025282352
MPZL2,0.306655643,0.025294553
OR1E2,-0.112517286,0.025330474
LANCL3,-0.202284643,0.025360341
PDCD4,0.187926714,0.025407291
,-0.253391214,0.025610412
UBR7,0.190858107,0.025648401
,-0.084173143,0.025679072
CHID1,-0.172694607,0.025755745
MFAP1,0.11355625,0.025803228
ACTR2,0.1304425,0.025883712
,0.356570893,0.025946242
MAFG,-0.190339643,0.025955311
,-0.161106714,0.025994659
BEX1,-0.167178036,0.026051857
POMGNT2,-0.129888536,0.02607566
GNAQ,0.191183571,0.026146493
PIAS2,-0.362480393,0.026218771
MORC2-AS1,-0.102273036,0.026227443
PTAFR,0.162057393,0.026257854
,-0.172875357,0.026280059
,-0.163014571,0.026312476
TAPBP,0.147353214,0.026358671
MSR1,-0.495066536,0.02637644
ZC3H13,0.141764286,0.026386703
,-0.14048,0.026404017
ATG9A,-0.207028571,0.026425869
NDRG1,0.172461429,0.026463507
UBASH3A,0.396815321,0.026580039
NUDT4P1///NUDT4P2///NUDT4,-0.331358571,0.026754248
JARID2,0.164086,0.026761808
FBXL4,-0.136034536,0.026768627
YME1L1,0.142315286,0.026775235
,-0.14860775,0.026786163
LINC00477,-0.149766214,0.026860827
,0.091186286,0.02689601
ADAM23,0.233460607,0.027018543
ARMC2,0.218816643,0.027056018
PLPP5,-0.287514964,0.027068755
FMR1,0.151649929,0.027126762
ATP6V1G2-DDX39B///ATP6V1G2,0.101241179,0.027143171
ATP6V1G2-DDX39B///ATP6V1G2,0.101241179,0.027143171
TP53BP1,0.162603536,0.027157302
PABPC4,0.249434786,0.027215287
ARRDC4,0.33566775,0.027272432
EDNRB,-0.109004571,0.027330748
CD1A,-0.136035071,0.027370182
CD2BP2,0.106836286,0.027384924
PAK2,0.178510821,0.0273917
RP9,-0.175188393,0.027455626
CREG1,-0.312820714,0.02747383
FNBP1,0.128414393,0.02750457
OR6Q1,0.141873857,0.027516056
CHKA,-0.165516107,0.027529963
CEP350,0.118735036,0.027572476
,-0.181700286,0.027622763
USF2,-0.089876357,0.027690975
