Gene.symbol,logFC,P.Value
MORC4///MORC4,0.822870227,6.96539630890031e-05
P2RY1,-0.464853068,6.99761069606587e-05
CYB5B,0.615711568,7.0909597571495e-05
SNORD13,0.625029545,7.09169284249717e-05
OXNAD1,0.986619114,7.09240820480278e-05
CRTC3,0.542361159,7.10717675747405e-05
STK11,-0.696539386,7.13040194017913e-05
CCNT1,0.467406773,7.25886852722483e-05
WDR82,0.553802136,7.3052153511694e-05
MTERF4,0.521347909,7.38854381411324e-05
MLXIP,-0.556002727,7.44468984428703e-05
MGC57346,0.835704341,7.45838308119153e-05
VTI1B,-0.691671182,7.50352417425103e-05
HPS1,-1.051965,7.56972479176732e-05
GOT2,0.567194364,7.57581214405707e-05
UBASH3A,0.96726625,7.57669524471668e-05
POMK,0.448683205,7.64526032532355e-05
AEBP2,0.56094075,7.70745108210821e-05
TESC,-1.229826227,7.72632385800831e-05
NUP160,0.684080205,7.83439748697328e-05
NUP205,0.649188818,7.85525549840047e-05
GPRASP1,0.641798318,7.85859776815802e-05
MFSD4B,0.492572568,7.93017711059318e-05
PET117///KAT14,0.535259614,7.94090260139078e-05
SMC1A,0.507824386,8.04926349088349e-05
NAT10,0.699256409,8.10766825172325e-05
HIST3H2A,-0.431620955,8.30698260224391e-05
ZFP62,0.745729545,8.35932770058928e-05
MTA2,0.531613614,8.36999972137678e-05
DDX19B,0.403169068,8.38660959743834e-05
GCLC,-1.054385318,8.39981388229364e-05
PRPF31,0.364178682,8.4083891537783e-05
TMEM86B,-0.798536795,8.48561708230026e-05
,0.983432977,8.49619965817725e-05
PHC1,0.5298735,8.51280877194236e-05
CXorf65,0.605881068,8.61197662446493e-05
WDR33,0.485576,8.61513822946324e-05
TRAK2,-1.061504045,8.62593606720532e-05
MAP3K12,0.459732432,8.65051914948223e-05
CPSF4,0.403654909,8.67559099539918e-05
TDP1,0.713414341,8.72821750571362e-05
MRPS25,0.541296182,8.79383393188722e-05
G3BP1,0.627059159,8.80032896978787e-05
CIAPIN1,0.454986091,8.80492522649105e-05
SNORD13P3,0.611404545,8.81407402131253e-05
PHF1,0.470517159,8.81569313315598e-05
ABCC13///ABCC13,-0.938036841,8.89259699727812e-05
TOP1,-0.508268864,8.89599865671959e-05
ABCC4,-1.310108455,8.90711196781756e-05
ATP5G2,0.353284682,8.9792891745921e-05
TCP11L2,-0.709350227,8.98893561942839e-05
LPIN1,0.682644614,9.00165358497892e-05
ZNF23,-0.961931205,9.02244513378931e-05
ZBTB39,0.445714773,9.21253917277329e-05
SNORD28,1.180017545,9.21746571338203e-05
SART3,0.518333727,9.22579111592133e-05
THADA,0.559005364,9.25081669122983e-05
SMIM5,-0.634365318,9.25296607247661e-05
TBPL1,-0.73225025,9.30670977006047e-05
SMYD3,0.586773182,9.30699191402121e-05
VSIG1,1.127857841,9.33535785050112e-05
XBP1,0.815684023,9.36515375826963e-05
RPTOR,0.610263409,9.47010380870641e-05
NUMA1,0.429685977,9.53731502330873e-05
NAA35,0.785849841,9.56640028254883e-05
DET1,0.489641159,9.64396003457702e-05
HNRNPF,0.488797227,9.64466542262991e-05
PPAT,0.423872909,9.67411904122678e-05
,0.395003659,9.72059871514227e-05
,0.395003659,9.72059871514227e-05
CRAT,-0.993019591,9.72286333024135e-05
TP53BP1,0.445313159,9.84361345043823e-05
DCUN1D1,-0.904522273,9.890810989841e-05
DHX35,0.466182841,9.89598948224995e-05
,-0.463087159,9.95006954240369e-05
GART,0.543819864,9.99748676727522e-05
FYN,0.826939841,0.000100063
ATP2B4,0.665019818,0.000100073
LY9,0.766555841,0.000100979
STAG3L5P-PVRIG2P-PILRB///STAG3L2///STAG3L3///STAG3L1,0.632236977,0.000102395
TRAT1,1.685335386,0.000102471
SLAMF1,0.787725045,0.000102837
FAM210B,-1.089831364,0.00010303
WBSCR22,0.382848682,0.000103055
NKAPP1,0.395018977,0.000103936
SLC25A26,0.732798295,0.000104432
FAM104B,-0.453492773,0.000104767
,-0.772871318,0.000105464
ST13P4,-0.656508818,0.00010584
MXI1,-0.912476773,0.000106042
KIAA1549///BRAF///BRAF,-0.2999475,0.000106248
STAG3L5P-PVRIG2P-PILRB///STAG3L2///STAG3L3///STAG3L1,0.625375341,0.000107306
TCTN3,0.793249795,0.00010824
MLYCD,0.406658182,0.000108641
CCDC88C,0.813764682,0.000108684
HELB,0.753690705,0.00011016
PREPL,0.807266636,0.000110226
BEND2,-1.614669386,0.000110782
PEBP1,0.739252795,0.000111029
ANOS1,-0.373623568,0.000111871
VWA9,0.712013409,0.000112786
PSMC5,0.502085205,0.000113158
FAM104A,-0.891487045,0.000113443
CD2,1.139703682,0.000114122
COIL,0.653658523,0.000114257
ATG16L1,0.51243925,0.000115058
BIN1,0.465849795,0.000115244
ALDH2,0.834931591,0.000115593
ABCG2,-0.910966341,0.000116674
ZSCAN25,0.384131159,0.000117247
EPHA4,0.565030273,0.000117446
PINK1,-0.786524795,0.000118145
HLA-DPA1,0.957690455,0.000118762
HLA-DPA1,0.957690455,0.000118762
SCAMP1,0.546746023,0.00011884
SLC48A1,-0.782970136,0.000118968
GANAB,0.560168705,0.000119367
,0.528841386,0.00011972
,-0.441956773,0.000120108
SUN2,0.497556636,0.000120746
SNX3,-0.690193864,0.000120977
LETMD1,0.444764159,0.000121102
ELL2,-0.596327386,0.000121844
,-0.587794273,0.000122083
AES,0.664847886,0.000122246
XPO5,0.628016295,0.000123036
CD3D,1.433661,0.000124693
RAD54L2,0.483940841,0.000124986
SLC9B2,0.567442205,0.000127504
RNF14,-0.877840591,0.000127638
ARL4A,-0.487393273,0.000127981
ZNF623,0.541244818,0.00012802
PEAR1,-0.692396341,0.00012818
KLF1,-1.171491136,0.000128775
PCID2,0.701500068,0.000129011
KLHL20,0.592150432,0.000129754
GPR146,-1.618867091,0.00013025
FAM86JP///FAM86HP///FAM86DP///FAM86B2///FAM86FP///FAM86C2P///FAM86B3P///EEF2KMT///FAM86B1///FAM86C1,0.494248659,0.000130421
INTS9,0.565566523,0.000130428
SPRY1,-0.393659023,0.000132281
C7orf26,0.461956136,0.000133368
AMPH,-0.780465068,0.000134269
PPP1R3E///HOMEZ,0.375905705,0.000134478
PIK3R4,0.396910455,0.000134617
HEPACAM2,-1.941254591,0.000134961
HLA-DPA1,0.843208864,0.000135402
,0.692675136,0.000136453
JMY,0.756674114,0.000136609
NECAP2,0.346299545,0.000136975
ECSIT,-0.498350455,0.000137029
SNRPA,0.551613886,0.000137634
RIOK3,-0.970622955,0.000138937
,0.952006205,0.000139387
SFMBT1,0.467136659,0.000140666
HLA-DPB1,0.636444773,0.000141005
ADNP2,0.518738159,0.000141038
TTC31,0.425158682,0.000141155
ZNF512,0.657715705,0.000141211
STYX,0.698433886,0.000141498
TMCC2,-0.937412682,0.000141888
KMT2A,0.621390159,0.000143918
VEPH1,-0.920950341,0.000144373
CCR7,1.131688682,0.000145158
ACKR3,0.574359068,0.000145773
STT3A,0.580185,0.00014626
ESYT2,0.506767136,0.000146278
SNORD38A,0.427626205,0.000147952
MZT2A,-0.470453727,0.000147998
UBE2F-SCLY///UBE2F,-0.602047023,0.000148015
,-0.809220773,0.000148103
YOD1,-1.089755591,0.000148508
RFC5,0.370163568,0.000149651
BCL9,0.620246114,0.00015071
METTL2B,0.742357273,0.000150922
CAMP,-0.721311614,0.000151875
ZBTB40,0.729361659,0.00015268
DHX30,0.546462955,0.000152931
MMS19,0.424537568,0.000153762
SPECC1,-0.789830318,0.00015398
MID2,0.892144795,0.000154368
TOE1,0.423354023,0.000155521
SHISA7,-0.857460795,0.000157149
OR6C4,1.764068591,0.000158539
TRAF1,0.863175318,0.000159669
SEPP1,-0.575487909,0.000160037
SLC7A6,0.6786675,0.000161024
SNORA54,0.741794136,0.000161538
PAGE2B,-0.832751932,0.000161819
HSF5,-0.756150182,0.000163606
MAGED1,0.5121505,0.000163804
THEM5,-1.62493,0.000163954
PRRC2B,0.522420364,0.000164053
GLRX5,-1.231114091,0.000165314
LOC613266,-0.405484545,0.000165476
RHCE,-0.771262227,0.00016556
ABHD14A,0.508659909,0.000165889
TARBP1,0.604820727,0.000166657
,-0.891586909,0.000167709
SIDT1,0.707474023,0.000169239
SYNJ2BP-COX16///SYNJ2BP,0.678797341,0.000169413
GDE1,-0.643014386,0.000169975
,-0.632864114,0.000170151
POLH,0.560646864,0.000173002
BMP2K,-0.562865773,0.000173139
TMEM158,-0.609523773,0.00017405
FAM208B,0.525980818,0.000174084
TMEM41A,0.534004318,0.000174113
NLRC3,0.520334295,0.000174245
SF3A3,0.729480523,0.000175865
CSF1R,0.694954909,0.000176961
ZBTB4,0.465556364,0.00017784
TCAF1,0.553071159,0.000178262
TMEM181,0.588701295,0.000178311
RPRD2,0.550477227,0.00017942
GIMAP8,0.576616023,0.000180142
RILP,-0.850866386,0.00018019
GPHN,0.464657182,0.000180352
ITGA9,-0.401262295,0.000180693
NF2,0.413081523,0.000180881
MFSD2B,-1.399752636,0.000181936
KDM8,0.407848136,0.000182394
BTN3A3,0.692773205,0.000182846
SERPINE1,-0.439588091,0.000183021
EIF2B1,0.582078818,0.000185508
CHPT1,-0.806777955,0.000186023
HMGN2,0.455665568,0.000186853
PLA2G4B///JMJD7///JMJD7-PLA2G4B,0.482636,0.000187069
RING1,0.333726477,0.000187703
MSTO2P///MSTO1,0.438357568,0.000188507
MSH2,0.576508045,0.000189343
MAOA,-0.983527386,0.000191966
TSHZ2,0.75757375,0.000192501
TAF3,0.342784932,0.000192554
ERCC3,0.530112932,0.000192641
C9orf78,-0.969843182,0.000193602
RGPD2///RGPD6///RGPD8///RGPD3///RGPD1///RGPD4///RGPD5///RANBP2,0.615600864,0.000196211
SLC2A1,-1.034307545,0.000196327
CUL9,0.432313864,0.000198825
FAM169A,0.655022705,0.000199416
NTAN1,-0.880104091,0.000199606
CDK10,0.374438909,0.000201831
,-0.616978568,0.00020331
,-0.608266818,0.000203357
FAM86HP///FAM86B1///FAM86C1,0.67143225,0.000204174
C14orf1,0.707040614,0.000204632
,-0.772246364,0.000204772
EEF2K,0.387132386,0.000205504
SNORD14C,0.899066932,0.000205538
LGALS3,-0.743550182,0.000205978
CLSTN1,0.465529773,0.000206427
COG7,0.369548773,0.000206825
RNF125,0.840748705,0.000207612
PCDHA4,-0.428580591,0.000208367
SCARNA17,1.161785091,0.000209184
CBLB,0.786457341,0.000209307
MAMLD1,-0.509478545,0.000209834
PLPP6,0.4948305,0.000209918
,0.521900818,0.000210483
HMGN2,0.459138477,0.000210514
XRCC6,0.587847909,0.000210884
SHPK,0.3873625,0.000210898
PCSK7,0.547579682,0.000212729
ZNF551,0.539396341,0.000214442
ZNF609,0.472423341,0.000214473
CBLL1,0.387151932,0.000214663
KMT2A,0.460988818,0.000216451
RING1,0.345756705,0.0002165
HBD,-1.068449318,0.000216558
RWDD2B,0.639960636,0.000217411
NDUFV1,0.422156909,0.000217462
PPP1R8,0.433295477,0.000218432
SNORD95,0.508745386,0.000218783
HAPLN3,0.641063864,0.000221614
URGCP-MRPS24///URGCP,0.433948841,0.000221785
TFR2,-0.904303045,0.000222057
EFCAB14,0.448941114,0.000222506
RNF168,0.484239318,0.000222666
RFTN1,0.744514386,0.000223829
SLC24A3,-0.804785227,0.000224461
MLLT6,0.436604409,0.000224605
BCL2L11,0.569184409,0.000225386
CX3CR1,0.971674864,0.000225516
SRXN1,-0.639801682,0.000226354
EDIL3,-0.511200864,0.000227315
POLR1B,0.683559068,0.000227602
ITLN1,-1.174076432,0.000228028
ST13P4///ST13P5///ST13,-0.748651091,0.000230267
ZNF263,0.430838955,0.000230281
ECI2,0.731362682,0.000231384
,-0.369510295,0.000231714
RRP7A,0.464104659,0.000232339
RABL2A///RABL2B,0.401931705,0.000234641
TTPAL,-0.675964409,0.000236221
,0.751620591,0.000236821
MAPKAPK5,0.517910614,0.000237559
ERAP1,0.583668045,0.000237805
TP53,0.631815568,0.000238379
ELAC2,0.67187275,0.000238653
MMP8,-2.164405545,0.000239034
PIP5K1B,-0.6063165,0.000239448
,0.574800091,0.000239543
NFX1,0.528887045,0.00023986
TXLNG,0.599014091,0.000240607
TMCO4,0.331970636,0.000240891
FUBP1,0.605599273,0.000241301
POC5,0.616027023,0.000241486
ZNF559-ZNF177///ZNF559,0.555673159,0.000242295
C12orf66,0.516145864,0.000243132
SMAD3,0.669697273,0.000243534
MAN2A2,-0.712766227,0.000244768
COQ10A,0.537193818,0.000244904
C9orf153,-0.782728205,0.000245497
SERF2-C15ORF63///SERF2,-0.419443659,0.000246013
NECAB1,-0.340485568,0.000246775
STOML2,-0.660488727,0.000247323
ITPKB,0.452385705,0.000247502
BUB3,0.759394091,0.000247969
