Gene.symbol,logFC,P.Value
SLX4,0.16805625,0.003678478
HNRNPUL2-BSCL2///HNRNPUL2,-0.334245429,0.003682554
DNAJA1P5,-0.214044524,0.003685094
IFNA6,-0.209795619,0.003685421
,-0.32646375,0.003696165
,0.433287488,0.003703973
,-0.693881571,0.003736814
CIDEB,0.356615226,0.003744034
USP15,-0.343343214,0.003753589
,-0.263071143,0.003760871
,-0.263071143,0.003760871
,-0.263071143,0.003760871
,-0.351939798,0.003760983
QSOX1,0.467080964,0.003766744
,-0.285467631,0.003786179
MGAT1,0.207282833,0.003811968
SGSM3,0.223548988,0.003821029
LOC284023,-0.181734429,0.003838769
,-0.339133464,0.003857992
SNN,0.350730595,0.003863449
PPP4R3A,-0.211433333,0.003865589
YIF1B,0.257888405,0.003867232
CCDC113,-0.203997369,0.003890615
,-0.447425298,0.003901522
SERPINB8,0.48993369,0.00390471
TMEM54,-0.185659131,0.003906027
,-0.270625702,0.003908154
TBL2,0.286587833,0.003918379
,-0.283026702,0.003930597
,-0.252932619,0.00398621
SLC39A7,0.250593952,0.003990559
SLC39A7,0.250593952,0.003990559
SLC39A7,0.250593952,0.003990559
,-0.294543405,0.003999462
,-0.294543405,0.003999462
,-0.441910143,0.004000726
OTUD3,-0.18060506,0.004019104
,-0.257728845,0.004023171
MIR205HG///MIR205///MIR205HG,-0.179943333,0.004035109
,-0.252453155,0.004052486
RAP2C,-0.21195256,0.004071361
,0.272751286,0.004074416
OR7E37P///OR7E35P///MGC72080///OR7E5P///DAPL1///OR7E24///OR7E47P///OR7E12P///OR7E14P,0.491790917,0.004078742
OR7E37P///MGC72080///OR7E5P///DAPL1///OR7E47P///OR7E12P///OR7E14P,0.43983381,0.004093558
UCK1,0.263072429,0.004094745
,-0.312369607,0.004105167
SUFU,0.236723714,0.004105971
TUBB4B,0.322612262,0.004116504
,-0.354223964,0.004116989
CCDC86,0.183443452,0.004126633
SAP30BP,0.200751619,0.004136249
FERMT3,0.361059048,0.004139076
MAP4K2,0.206739417,0.004147459
DECR1,-0.202079595,0.004163111
PTPRC,-0.209902381,0.004271735
,-0.363627202,0.004289916
,-0.272551345,0.004292074
,-0.272551345,0.004292074
DCDC5,-0.164566357,0.004293961
,-0.274911571,0.004312014
CER1,-0.242103774,0.004315602
RAD21,-0.2805145,0.004322494
CNGB3,-0.146508643,0.0043495
,0.313109857,0.004362079
IER3,0.33999169,0.004368841
IER3,0.33999169,0.004368841
,-0.25700075,0.004382689
FOXD1,-0.237970702,0.004385626
ADI1,0.328857036,0.004394583
PRY2///PRY,-0.1801025,0.00440349
C2orf27B,-0.228369726,0.004412925
LAMB1,-0.173865893,0.004444872
,-0.450138869,0.004447384
,-0.305752679,0.004476624
PLEKHO1,0.273776381,0.004492039
,-0.373168214,0.004493249
GABPA,-0.182210274,0.004500541
,-0.368670286,0.004533373
OR6C75,-0.208777036,0.004552306
PPP4R3B,-0.197082238,0.004571506
,-0.200806738,0.004571764
CSDE1,-0.229620357,0.004581213
,-0.212313512,0.004610165
TAPBPL,0.361799321,0.004622125
ARPC4-TTLL3///ARPC4,0.176903571,0.004626936
,-0.22396456,0.004633615
LINC01105///LINC01105,-0.213666893,0.004680229
ADAP2,0.490980976,0.00468334
,0.226551524,0.004733499
,-0.213535595,0.004749169
,0.20219081,0.004771876
ARHGAP21,0.346269845,0.004812734
MFSD13A,0.263820119,0.004819489
IK,-0.192549012,0.004833742
SIGLEC7,0.369616726,0.004852721
OR7E37P///MGC72080///DAPL1///OR7E12P,0.42879575,0.004864278
GLDC,-0.240019607,0.004884938
PPT2-EGFL8///EGFL8///PPT2,0.249438095,0.004889671
,-0.198882548,0.004908213
,-0.244884643,0.004922101
,0.380054417,0.004939581
UCHL1,-0.228788631,0.004948591
,-0.221641012,0.004949693
TKFC,0.193502202,0.004959914
,-0.185816833,0.004977441
IQCF1,-0.181886048,0.004985751
,-0.173269369,0.004991577
STAG2,-0.288015881,0.005002033
,0.251870357,0.005013423
KXD1,0.163975262,0.005017972
STXBP6,-0.218918929,0.005030391
,0.201018214,0.00503208
DHRS1,0.379363333,0.005033109
ACTR2,-0.211399405,0.005036711
,-0.25516231,0.005038837
OR7E37P///OR7E35P///MGC72080///DAPL1///OR7E24///OR7E47P///OR7E12P///OR7E14P,0.491251583,0.005045043
,0.201372238,0.005050355
TMEM220,-0.17002894,0.005052878
LYZL4,-0.210982179,0.00505736
CNPY3,0.222407857,0.00506049
,-0.370244214,0.005071056
UBAP2L,0.251848702,0.005094727
OR7E37P///OR7E35P///MGC72080///OR7E5P///DAPL1///OR7E24///OR7E47P///OR7E12P///OR7E14P,0.487627798,0.005102636
NECAP1,0.224222452,0.005116736
CES4A,0.207021393,0.005123422
MAGEA10,-0.182627607,0.005136254
,-0.248868357,0.005150839
,-0.28051244,0.005158984
,-0.282463786,0.005162056
TIMM13,-0.170731369,0.005162484
,-0.273110381,0.00516582
,-0.216403833,0.005198122
OR56A4,0.223260726,0.00520273
SLA2,0.430787821,0.005205388
SZT2,0.252226881,0.005221593
OR2T10,0.264335131,0.005269482
,-0.16597981,0.005297916
,-0.2765495,0.005303658
,-0.347412893,0.005305793
PLEKHM2,0.229192286,0.005310866
SNORA70G,-0.228908464,0.005316962
,-0.4561615,0.005326183
TNRC18,0.313961095,0.005336913
HIST2H2AB///HIST2H2AB,-0.415084774,0.005347177
,-0.198275,0.00534944
,-0.198275,0.00534944
OR7E37P///OR7E35P///MGC72080///OR7E5P///DAPL1///OR7E24///OR7E47P///OR7E12P///OR7E14P,0.485307048,0.005367973
,-0.44620931,0.005377491
PPT2-EGFL8///EGFL8///PPT2,0.24946269,0.005383556
FAM110A,0.32132869,0.005390194
,-0.353414524,0.005391362
RGP1,0.237394857,0.005411911
MAGI1,-0.205168714,0.005416467
CRELD1,0.224472774,0.005466914
,-0.530450988,0.005468028
,-0.271082702,0.005470012
,-0.222107,0.005474244
,-0.551055202,0.005523007
PHF23,0.188405714,0.005537943
CHGB,-0.204907214,0.005549658
,-0.223336488,0.005551041
,-0.295283464,0.005551466
,-0.142538131,0.005567122
RAB40C,0.147136571,0.0055879
FAM206A,0.20977069,0.005642369
CSRP1,0.409432262,0.005642859
PSMB6,0.560761643,0.005645808
HGD,0.369015512,0.005648996
HGD,0.369015512,0.005648996
,0.189423762,0.005656622
FHL1,0.780462429,0.005657461
,-0.329185571,0.005669969
LOC102724984///LOC728138///KIAA2013,0.227565714,0.005674071
OR7E37P///OR7E35P///MGC72080///OR7E5P///DAPL1///OR7E24///OR7E47P///OR7E12P///OR7E14P,0.487572179,0.005674304
IWS1,-0.258982143,0.005680694
,-0.234379155,0.005689773
A2M,-0.292523762,0.00570351
RBM42,0.158391024,0.00571763
,-0.474727298,0.005730066
,-0.206347643,0.005741908
C22orf39,0.140570857,0.005745409
SNX17,0.372064607,0.005745962
SNHG1///SNORD25,0.574574536,0.005769684
MLX,0.249381988,0.005784698
,-0.222162929,0.005796546
,-0.209166012,0.005806839
NR0B1,-0.194822333,0.005810581
,-0.365621238,0.005821791
MIR221,-0.281523738,0.005823118
DNAJB14,-0.312935036,0.005842337
CCDC92,0.429105857,0.005846038
ZNF692///ZNF692,0.233140286,0.005848781
,-0.258619143,0.005855162
FCER1G,0.284476429,0.005869219
PTCH2,0.488378619,0.005870307
CHRNB4,-0.31221325,0.005899493
FAM127A,0.302767738,0.005919462
,-0.653277298,0.005935389
CDKN1A,0.42718919,0.005946206
,-0.568392369,0.005948287
LOC100129581,-0.181521095,0.005968621
,0.49263206,0.005969802
PNRC2,-0.277104238,0.005989941
PNRC2,-0.277104238,0.005989941
OTUD6A,-0.253533571,0.006001624
,-0.228621643,0.006013096
PDCD4,-0.282808774,0.006051424
LLPH,-0.176872798,0.006068999
GLB1,0.268393286,0.00607271
DERL2,-0.244398357,0.006105293
MIR34A,-0.222380286,0.006110776
IGSF22,-0.21213575,0.006114823
PAPPA,-0.18599094,0.00613387
AHCY,0.179462702,0.0061382
SZRD1,0.219273095,0.006146755
DEDD,0.180815643,0.006155139
FLJ16171,-0.281649476,0.006168082
CCDC151,-0.21011569,0.006180405
TIAL1,-0.26245494,0.006184786
,-0.239444107,0.006193798
,-0.2875875,0.006194323
SUMO1,-0.255844655,0.006194492
,-0.396408012,0.006228376
FBXO11,-0.280418155,0.006232568
,-0.244120083,0.006233711
CLCN7,0.365996738,0.006245905
STK19,0.1874595,0.006248263
